Unnamed: 0,회계연도,지역명,자치단체코드,자치단체명,부채,자산_x,지자체 자산대비 부채비율(%),전년도자산,총자산증가율
99,2013,경기,4135000,경기광주시,"160,321,172,973",2654653708347,6.04,2597158638615,2.2137681109329805
100,2013,경기,4131000,경기이천시,"118,541,815,063",3168618384278,3.74,3203013275670,-1.07382918619984
101,2013,경기,4136000,경기양주시,"104,560,403,398",2489130322574,4.2,2324069229601,7.102245099701181
102,2013,경기,4124000,경기오산시,"38,637,042,933",2503805003801,1.54,2234303420759,12.061995722606442
103,2013,경기,4122000,경기구리시,"47,018,322,660",2715973639615,1.73,2620125905517,3.6581346681157845
104,2013,경기,4132000,경기안성시,"96,452,396,545",3041683506579,3.17,2854649532421,6.551906706368202
105,2013,경기,4137000,경기포천시,"50,446,434,306",2249368556664,2.24,2073472690515,8.48315326040353
106,2013,경기,4127000,경기의왕시,"41,141,627,775",2363101684395,1.74,2287718920330,3.295106028765376
107,2013,경기,4128000,경기하남시,"29,057,201,794",2384597808051,1.22,2181630292733,9.303478962227643
108,2013,경기,4138000,경기여주시,"11,206,240,934",2899232618903,0.39,2781060763719,4.2491648052296975
109,2013,경기,4118000,경기동두천시,"64,968,718,175",1649106394734,3.94,1548180040100,6.519032155167236
110,2013,경기,4121000,경기과천시,"37,339,184,799",1770739871372,2.11,1755081884988,0.8921513302558562
111,2013,경기,4178000,경기양평군,"37,999,885,602",2413179560351,1.57,2373679084218,1.6641034753024877
112,2013,경기,4177000,경기가평군,"24,355,253,368",1509896204276,1.61,1430694559164,5.535887768964469
113,2013,경기,4175000,경기연천군,"19,814,665,302",1666847232178,1.19,1529291499476,8.994735977355031
114,2013,강원,4200000,강원본청,"938,180,691,740",11830761974867,7.93,11426327021962,3.539500944858788
115,2013,강원,4211000,강원춘천시,"106,715,516,013",5830879464886,1.83,5636468033147,3.4491711936571487
116,2013,강원,4212000,강원원주시,"316,742,995,090",6393088711860,4.95,6067544835197,5.365331209001776
117,2013,강원,4213000,강원강릉시,"187,621,499,926",4317751389159,4.35,4187314297669,3.115053760416597
