iter	Passed	Remaining
876	2464	345
877	2467	342
878	2470	340
879	2472	337
880	2475	334
881	2478	331
882	2481	328
883	2484	325
884	2486	323
885	2489	320
886	2492	317
887	2495	314
888	2498	311
889	2500	309
890	2503	306
891	2506	303
892	2509	300
893	2512	297
894	2514	295
895	2517	292
896	2520	289
897	2523	286
898	2525	283
899	2528	280
900	2531	278
901	2534	275
902	2537	272
903	2539	269
904	2542	266
905	2545	264
906	2547	261
907	2550	258
908	2553	255
909	2555	252
910	2558	249
911	2560	247
912	2563	244
913	2566	241
914	2568	238
915	2571	235
916	2574	233
917	2576	230
918	2579	227
919	2582	224
920	2584	221
921	2587	218
922	2590	216
923	2592	213
924	2595	210
925	2597	207
926	2600	204
927	2603	201
928	2606	199
929	2608	196
930	2611	193
931	2614	190
932	2616	187
933	2619	185
934	2622	182
935	2624	179
936	2627	176
937	2630	173
938	2633	171
939	2635	168
940	2638	165
941	2641	162
942	2643	159
943	2646	156
944	2649	154
945	2652	151
946	2654	148
947	2657	145
948	2659	142
949	2662	140
950	2665	137
951	2668	134
952	2671	131
953	2673	128
954	2676	126
955	2679	123
956	2682	120
957	2685	117
958	2689	114
959	2692	112
960	2695	109
961	2698	106
962	2702	103
963	2706	101
964	2709	98
965	2712	95
966	2716	92
967	2720	89
968	2723	87
969	2726	84
970	2729	81
971	2732	78
972	2736	75
973	2739	73
974	2742	70
975	2745	67
976	2748	64
977	2751	61
978	2754	59
979	2757	56
980	2759	53
981	2763	50
982	2766	47
983	2769	45
984	2772	42
985	2775	39
986	2777	36
987	2780	33
988	2783	30
989	2786	28
990	2788	25
991	2791	22
992	2794	19
993	2797	16
994	2799	14
995	2802	11
996	2805	8
997	2807	5
998	2810	2
999	2813	0
