iter	Passed	Remaining
643	2189	1210
644	2193	1207
645	2196	1203
646	2198	1199
647	2202	1196
648	2205	1192
649	2209	1189
650	2212	1186
651	2215	1182
652	2219	1179
653	2222	1176
654	2226	1172
655	2229	1169
656	2233	1165
657	2236	1162
658	2239	1159
659	2243	1155
660	2246	1151
661	2249	1148
662	2252	1144
663	2255	1141
664	2259	1138
665	2263	1134
666	2266	1131
667	2269	1127
668	2273	1124
669	2276	1121
670	2279	1117
671	2282	1114
672	2285	1110
673	2289	1107
674	2292	1103
675	2295	1100
676	2298	1096
677	2301	1093
678	2306	1090
679	2309	1086
680	2312	1083
681	2315	1079
682	2318	1075
683	2322	1072
684	2325	1069
685	2328	1065
686	2331	1062
687	2334	1058
688	2339	1055
689	2342	1052
690	2345	1048
691	2348	1045
692	2351	1041
693	2355	1038
694	2359	1035
695	2362	1031
696	2365	1028
697	2369	1024
698	2372	1021
699	2375	1018
700	2378	1014
701	2381	1011
702	2385	1007
703	2388	1004
704	2391	1000
705	2394	997
706	2397	993
707	2401	990
708	2405	987
709	2408	983
710	2411	980
711	2414	976
712	2418	973
713	2422	970
714	2425	966
715	2428	963
716	2431	959
717	2435	956
718	2438	952
719	2441	949
720	2444	945
721	2447	942
722	2451	939
723	2455	936
724	2458	932
725	2461	929
726	2465	925
727	2468	922
728	2471	918
729	2474	915
730	2477	911
731	2482	908
732	2485	905
733	2488	901
734	2491	898
735	2495	895
736	2500	892
737	2503	888
738	2506	885
739	2509	881
740	2512	878
741	2516	875
742	2519	871
743	2522	868
744	2526	864
745	2529	861
746	2532	857
747	2535	854
748	2538	850
749	2542	847
750	2545	843
751	2549	840
752	2552	837
753	2556	833
754	2559	830
755	2563	827
756	2566	823
757	2570	820
758	2573	817
759	2576	813
760	2580	810
761	2583	806
762	2586	803
763	2589	799
764	2592	796
765	2596	793
766	2600	789
767	2603	786
768	2606	782
769	2609	779
770	2613	776
771	2616	772
772	2619	769
773	2622	765
774	2625	762
775	2629	759
776	2633	755
777	2636	752
778	2639	748
779	2642	745
780	2646	742
781	2649	738
782	2652	735
783	2655	731
784	2658	728
785	2662	725
786	2666	721
787	2669	718
788	2672	714
789	2676	711
790	2679	708
791	2682	704
792	2685	701
793	2688	697
794	2692	694
795	2696	691
796	2699	687
797	2702	684
798	2705	680
799	2710	677
800	2713	674
801	2716	670
802	2719	667
803	2722	663
804	2727	660
805	2730	657
806	2733	653
807	2736	650
808	2739	646
809	2743	643
810	2746	640
811	2749	636
812	2752	633
813	2755	629
814	2759	626
815	2763	623
816	2766	619
817	2769	616
818	2773	612
819	2776	609
820	2779	606
821	2783	602
822	2786	599
823	2789	595
824	2793	592
825	2796	589
826	2799	585
827	2802	582
828	2805	578
829	2809	575
830	2812	571
831	2815	568
832	2835	568
833	2842	565
834	2848	562
835	2855	560
836	2857	556
837	2860	553
838	2864	549
839	2866	546
840	2870	542
841	2873	539
842	2878	536
843	2881	532
844	2884	529
845	2888	525
846	2891	522
847	2894	518
848	2898	515
849	2901	511
850	2905	508
851	2908	505
852	2911	501
853	2914	498
854	2917	494
855	2921	491
856	2924	487
857	2927	484
858	2930	481
859	2933	477
860	2938	474
861	2941	470
862	2944	467
863	2947	463
864	2950	460
865	2954	457
866	2957	453
867	2960	450
868	2963	446
869	2967	443
870	2971	440
871	2975	436
872	2978	433
873	2981	429
874	2985	426
875	2988	423
876	2991	419
877	2994	416
878	2997	412
879	3002	409
880	3005	405
881	3008	402
882	3011	399
883	3014	395
884	3018	392
885	3021	388
886	3024	385
887	3027	381
888	3031	378
889	3035	375
890	3038	371
891	3041	368
892	3044	364
893	3049	361
894	3052	358
895	3055	354
896	3058	351
897	3061	347
898	3065	344
899	3069	341
900	3073	337
901	3076	334
902	3080	330
903	3084	327
904	3087	324
905	3090	320
906	3093	317
907	3098	313
908	3101	310
909	3104	307
910	3107	303
911	3110	300
912	3114	296
913	3117	293
914	3121	289
915	3124	286
916	3127	283
917	3131	279
918	3135	276
919	3139	272
920	3142	269
921	3146	266
922	3149	262
923	3152	259
924	3155	255
925	3159	252
926	3163	249
927	3166	245
928	3169	242
929	3172	238
930	3175	235
931	3179	231
932	3183	228
933	3187	225
934	3190	221
